Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,LU1VHN-V,145.450000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
1,LU1VHN-V,146.940000,-,0.600000,Tone,100.0,88.5,023,NN,NFM,5.00,,,,,,
2,LU1VHN-U,433.100000,+,5.000000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
3,LU1VO-V,147.120000,+,0.600000,Tone,71.9,88.5,023,NN,NFM,5.00,,,,,,
4,LU2VA-U,434.850000,+,5.000000,Tone,103.5,88.5,023,NN,NFM,5.00,,,,,,
5,LU3VAL-V,146.730000,-,0.600000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
6,LU3VD-V,146.715000,-,0.600000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
7,LU7VM-V,145.480000,-,0.600000,Tone,71.9,88.5,023,NN,NFM,5.00,,,,,,
