Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,LU1IG-V,147.300000,+,0.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
1,LU1IG-V,145.495000,-,0.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
2,LU1YY-V,146.880000,-,0.600000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
3,LU1YY-V,146.640000,-,0.600000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
4,LU1YY-V,147.375000,+,0.600000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
5,LU4YC-V,146.620000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,LU8YE-V,147.240000,+,0.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
