Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,LU1MAR-V,147.885000,-,0.600000,Tone,94.8,88.5,023,NN,NFM,5.00,,,,,,
1,LU1MEK-V,144.610000,+,0.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
2,LU1MG-V,147.705000,-,0.600000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
3,LU2MBI-V,144.715000,+,0.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
4,LU2MMR-V,147.720000,-,0.600000,Tone,210.7,88.5,023,NN,NFM,5.00,,,,,,
5,LU9MAB-V,147.810000,-,0.600000,Tone,110.9,88.5,023,NN,NFM,5.00,,,,,,
