CH No;Frequency;Dup;Offset;TS;Mode;Name;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign
0;146,850000;DUP-;0,600000;5kHz;FM-N;LU1QA;OFF;TONE;64,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
1;146,940000;DUP-;0,600000;5kHz;FM-N;LU1QA;OFF;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
2;146,800000;DUP-;0,600000;5kHz;FM-N;LU3QA;OFF;TONE;100,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
3;434,900000;DUP+;5,000000;5kHz;FM-N;LU3QA;OFF;TONE;100,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
4;147,245000;DUP+;0,600000;5kHz;FM-N;LU4QQ;OFF;TONE;100,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
