CH No;Frequency;Dup;Offset;TS;Mode;Name;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign
0;147,300000;DUP+;0,600000;5kHz;FM-N;LU1IG;OFF;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
1;145,495000;DUP-;0,600000;5kHz;FM-N;LU1IG;OFF;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
2;146,880000;DUP-;0,600000;5kHz;FM-N;LU1YY;OFF;TONE;114,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
3;146,640000;DUP-;0,600000;5kHz;FM-N;LU1YY;OFF;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
4;147,375000;DUP+;0,600000;5kHz;FM-N;LU1YY;OFF;TONE;114,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
5;146,620000;DUP-;0,600000;5kHz;FM-N;LU4YC;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
6;147,240000;DUP+;0,600000;5kHz;FM-N;LU8YE;OFF;TONE;131,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
