CH No;Frequency;Dup;Offset;TS;Mode;Name;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign
40;147,825000;DUP-;0,600000;5kHz;FM;LU6DK;OFF;TONE;123,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
41;438,700000;DUP-;5,000000;5kHz;FM;LU6DK;OFF;TONE;131,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
42;147,810000;DUP-;0,600000;5kHz;FM;LU6EEC;OFF;TONE;100,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
43;147,675000;DUP-;0,600000;5kHz;FM;LU6FE;OFF;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
44;439,300000;DUP-;5,000000;5kHz;FM;LU6FE;OFF;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
45;146,100000;DUP+;0,600000;5kHz;FM;LU7DBL;OFF;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
46;146,130000;DUP+;0,600000;5kHz;FM;LU7DBL;OFF;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
47;146,235000;DUP+;0,600000;5kHz;FM;LU7DCE;OFF;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
48;147,735000;DUP-;0,600000;5kHz;FM;LU7DFB;OFF;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
49;146,160000;DUP+;0,600000;5kHz;FM;LU7DZL;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
50;147,855000;DUP-;0,600000;5kHz;FM;LU7EG;OFF;TONE;141,3Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
51;439,700000;DUP-;5,000000;5kHz;FM;LU7EO;OFF;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
52;144,745000;DUP+;0,600000;5kHz;FM;LU7EO;OFF;TONE;136,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
53;147,885000;DUP-;0,600000;5kHz;FM;LU8DA;OFF;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
54;147,930000;DUP-;0,600000;5kHz;FM;LU8DZE;OFF;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
55;438,200000;DUP-;5,000000;5kHz;FM;LU8DZE;OFF;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
56;147,630000;DUP-;0,600000;5kHz;FM;LU8DZE;OFF;TONE;100,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
57;146,280000;DUP+;0,600000;5kHz;FM;LU9EV;OFF;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
58;146,220000;DUP+;0,600000;5kHz;FM;LW1ECF;OFF;TONE;107,2Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
59;147,650000;DUP-;0,600000;5kHz;FM;LW1EHT;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
60;146,040000;DUP+;0,600000;5kHz;FM;LW3DSR;OFF;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
61;438,450000;DUP-;5,000000;5kHz;FM;LW4ERZ;OFF;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
62;146,385000;DUP+;0,600000;5kHz;FM;LW4ERZ;OFF;TONE;127,3Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
