CH No;Frequency;Dup;Offset;TS;Mode;Name;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign
0;144,850000;DUP+;0,600000;5kHz;FM;LU1VHN;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
1;146,340000;DUP+;0,600000;5kHz;FM;LU1VHN;OFF;TONE;100,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
2;438,100000;DUP-;5,000000;5kHz;FM;LU1VHN;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
3;147,720000;DUP-;0,600000;5kHz;FM;LU1VO;OFF;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
4;439,850000;DUP-;5,000000;5kHz;FM;LU2VA;OFF;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
5;146,130000;DUP+;0,600000;5kHz;FM;LU3VAL;OFF;TONE;114,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
6;146,115000;DUP+;0,600000;5kHz;FM;LU3VD;OFF;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
7;144,880000;DUP+;0,600000;5kHz;FM;LU7VM;OFF;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
