CH No;Frequency;Dup;Offset;TS;Mode;Name;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign
0;147,285000;DUP+;0,600000;5kHz;FM-N;LU1MAR;OFF;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
1;145,210000;DUP-;0,600000;5kHz;FM-N;LU1MEK;OFF;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
2;147,105000;DUP+;0,600000;5kHz;FM-N;LU1MG;OFF;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
3;145,315000;DUP-;0,600000;5kHz;FM-N;LU2MBI;OFF;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
4;147,120000;DUP+;0,600000;5kHz;FM-N;LU2MMR;OFF;TONE;210,7Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
5;147,210000;DUP+;0,600000;5kHz;FM-N;LU9MAB;OFF;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
